Sex,AgeClass,WeightClassKg,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,IPFPoints,weight_bin
F,24-34,90.0,Wraps,187.5,92.5,165.0,661.57,75–90
F,24-34,60.0,Wraps,130.0,70.0,140.0,610.15,<60
F,24-34,67.5,Wraps,135.0,80.0,152.5,624.51,60–75
F,24-34,67.5,Wraps,112.5,77.5,130.0,557.1,60–75
F,35-39,82.5,Wraps,117.5,62.5,135.0,496.82,75–90
F,24-34,48.0,Wraps,125.5,60.0,140.0,652.3,<60
F,35-39,90.0,Wraps,155.0,65.0,160.0,568.2,75–90
F,40-44,60.0,Wraps,120.0,57.5,155.0,591.68,<60
F,24-34,75.0,Wraps,140.0,80.0,162.5,615.33,60–75
F,24-34,56.0,Wraps,125.0,65.0,142.5,610.02,<60
F,40-44,90.0,Wraps,192.5,72.5,160.0,636.57,75–90
F,50-54,75.0,Wraps,75.0,47.5,117.5,384.04,60–75
F,35-39,110.0,Wraps,115.0,57.5,130.0,427.19,105–120
F,24-34,75.0,Wraps,152.5,75.0,182.5,678.61,60–75
F,24-34,67.5,Wraps,110.0,55.0,150.0,536.01,60–75
F,50-54,90.0,Wraps,110.0,55.0,132.5,451.6,75–90
F,24-34,52.0,Wraps,130.0,60.0,140.0,628.18,<60
M,24-34,140.0,Wraps,300.0,175.0,240.0,536.72,120+
M,35-39,110.0,Wraps,195.0,152.5,240.0,490.05,105–120
M,35-39,75.0,Wraps,210.0,142.5,255.0,662.27,60–75
M,24-34,82.5,Wraps,215.0,120.0,230.0,578.03,75–90
M,24-34,110.0,Wraps,260.0,140.0,250.0,565.2,105–120
M,20-23,100.0,Wraps,272.5,177.5,265.0,654.76,90–105
M,24-34,100.0,Wraps,280.0,175.0,300.0,693.94,90–105
M,16-17,100.0,Wraps,242.5,125.0,260.0,562.09,90–105
M,24-34,125.0,Wraps,200.0,127.5,245.0,440.21,120+
M,24-34,100.0,Wraps,150.0,105.0,175.0,365.92,90–105
M,24-34,82.5,Wraps,240.0,165.0,255.0,689.48,75–90
M,20-23,100.0,Wraps,190.0,132.5,222.5,487.77,90–105
M,16-17,67.5,Wraps,230.0,122.5,247.5,702.52,60–75
M,24-34,140.0,Wraps,275.0,150.0,252.5,512.88,120+
M,24-34,125.0,Wraps,310.0,180.0,350.0,692.25,120+
M,55-59,82.5,Wraps,205.0,115.0,207.5,523.12,75–90
M,20-23,110.0,Wraps,265.0,142.5,255.0,565.92,105–120
M,16-17,90.0,Wraps,230.0,102.5,235.0,547.38,75–90
M,24-34,140.0,Wraps,290.0,190.0,300.0,607.42,120+
M,45-49,140.0,Wraps,282.5,185.0,285.0,568.21,120+
M,45-49,100.0,Wraps,270.0,175.0,267.5,646.05,90–105
M,24-34,100.0,Wraps,285.0,160.0,290.0,672.89,90–105
M,20-23,67.5,Wraps,175.0,115.0,220.0,589.38,60–75
M,35-39,110.0,Wraps,215.0,135.0,220.0,473.73,105–120
M,24-34,82.5,Wraps,235.0,152.5,235.0,624.63,75–90
M,24-34,110.0,Wraps,320.0,165.0,265.0,650.06,105–120
M,24-34,110.0,Wraps,245.0,155.0,290.0,604.13,105–120
M,24-34,90.0,Wraps,200.0,135.0,200.0,499.67,75–90
M,24-34,100.0,Wraps,227.5,147.5,227.5,537.71,90–105
M,24-34,100.0,Wraps,242.5,152.5,250.0,590.83,90–105
M,35-39,110.0,Wraps,302.5,185.0,305.0,691.7,105–120
M,24-34,82.5,Wraps,210.0,120.0,215.0,547.61,75–90
M,40-44,100.0,Wraps,285.0,145.0,280.0,645.1,90–105
M,35-39,140.0,Wraps,185.0,145.0,215.0,401.91,120+
M,40-44,110.0,Wraps,235.0,160.0,285.0,585.39,105–120
M,24-34,140.0,Wraps,290.0,175.0,292.5,603.86,120+
M,18-19,140.0,Wraps,222.5,100.0,210.0,388.52,120+
M,24-34,100.0,Wraps,245.0,165.0,275.0,623.34,90–105
M,40-44,125.0,Wraps,350.0,220.0,350.0,754.8,120+
M,20-23,82.5,Wraps,215.0,115.0,220.0,553.42,75–90
M,24-34,125.0,Wraps,280.0,220.0,300.0,650.51,120+
M,40-44,82.5,Wraps,165.0,120.0,185.0,481.22,75–90
